RANK,NAME,TEAM,SALARY
403,Markieff Morris,Los Angeles Lakers,1620564
404,Udonis Haslem,Miami Heat,1620564
405,Wenyen Gabriel,New Orleans Pelicans,1620564
406,Kent Bazemore,Golden State Warriors,1620564
407,Wayne Ellington,Detroit Pistons,1620564
408,Jared Dudley,Los Angeles Lakers,1620564
409,Dwight Howard,Philadelphia 76ers,1620564
410,Carmelo Anthony,Portland Trail Blazers,1620564
411,Isaiah Hartenstein,Cleveland Cavaliers,1620564
412,Harry Giles III,Portland Trail Blazers,1620564
413,Reggie Jackson,LA Clippers,1620564
414,Nicolas Batum,LA Clippers,1620564
415,JaKarr Sampson,Indiana Pacers,1620564
416,Ryan Anderson,Houston Rockets,1620564
417,Gerald Green,Houston Rockets,1620564
418,Jeff Green,Brooklyn Nets,1620564
419,Sterling Brown,Houston Rockets,1620564
420,J.J. Barea,Dallas Mavericks,1620564
421,Thon Maker,Cleveland Cavaliers,1620564
422,Jarell Martin,Cleveland Cavaliers,1620564
423,Matthew Dellavedova,Cleveland Cavaliers,1620564
424,Willy Hernangomez,New Orleans Pelicans,1620564
425,Joe Johnson,Boston Celtics,1620564
426,Vince Carter,Atlanta Hawks,1620564
427,Dwight Buycks,Detroit Pistons,1600520
428,Monte Morris,Denver Nuggets,1588231
429,Antonio Blakeney,Chicago Bulls,1588231
430,Tyrone Wallace,New Orleans Pelicans,1588231
431,Malachi Richardson,Philadelphia 76ers,1569360
432,Georgios Papagiannis,Portland Trail Blazers,1544951
433,Chinanu Onuaku,Portland Trail Blazers,1544951
434,Wade Baldwin IV,Indiana Pacers,1544951
435,Isaiah Whitehead,Detroit Pistons,1544951
436,Paul Zipser,Chicago Bulls,1544951
437,Jalen McDaniels,Charlotte Hornets,1517981
438,Cody Martin,Charlotte Hornets,1517981
439,Dewan Hernandez,Toronto Raptors,1517981
440,Daniel Gafford,Washington Wizards,1517981
441,Anzejs Pasecniks,Washington Wizards,1517981
442,Eric Paschall,Golden State Warriors,1517981
443,Nigel Williams-Goss,Utah Jazz,1517981
444,Luguentz Dort,Oklahoma City Thunder,1517981
445,KZ Okpala,Miami Heat,1517981
446,Isaiah Roby,Oklahoma City Thunder,1517981
447,Terence Davis,Sacramento Kings,1517981
448,Admiral Schofield,Orlando Magic,1517981
449,Nic Claxton,Brooklyn Nets,1517981
450,Naz Reid,Minnesota Timberwolves,1517981
451,Jaylen Nowell,Minnesota Timberwolves,1517981
452,Jalen Lecque,Indiana Pacers,1517981
453,Mychal Mulder,Golden State Warriors,1517981
454,Chris Silva,Sacramento Kings,1517981
455,Caleb Martin,Charlotte Hornets,1517981
456,Talen Horton-Tucker,Los Angeles Lakers,1517981
457,Ky Bowman,LA Clippers,1517981
458,Terance Mann,LA Clippers,1517981
459,Bruno Fernando,Atlanta Hawks,1517981
460,Alen Smailagic,Golden State Warriors,1517981
461,Carsen Edwards,Boston Celtics,1517981
462,Vlatko Cancar,Denver Nuggets,1517981
463,Rayjon Tucker,Philadelphia 76ers,1517981
464,Dean Wade,Cleveland Cavaliers,1517981
465,Matt Thomas,Utah Jazz,1517981
466,Javonte Green,Chicago Bulls,1517981
467,Miye Oni,Utah Jazz,1517981
468,Justin James,Sacramento Kings,1517981
469,Juwan Morgan,Utah Jazz,1517981
470,Chris Clemons,Atlanta Hawks,1517981
471,Omri Casspi,Memphis Grizzlies,1512601
472,Lorenzo Brown,Guangzhou Guangzhou Long-Lions,1512601
473,Isaiah Canaan,Milwaukee Bucks,1512601
474,Dwyane Wade,Miami Heat,1512601
475,Robert Woodard II,Sacramento Kings,1500000
476,DaQuan Jeffries,Houston Rockets,1445697
477,Paul Watson,Toronto Raptors,1445697
478,Jae'Sean Tate,Houston Rockets,1445697
479,Theo Pinson,New York Knicks,1445697
480,Zylan Cheatham,New Orleans Pelicans,1445697
481,Kelan Martin,Indiana Pacers,1445697
482,Taj Gibson,New York Knicks,1442968
483,Elie Okobo,Brooklyn Nets,1416852
484,Jaylen Adams,Milwaukee Bucks,1416852
485,Jemerrio Jones,Los Angeles Lakers,1416852
486,Dairis Bertans,New Orleans Pelicans,1416852
487,Yante Maten,Boston Celtics,1416852
488,Tarik Phillip,Washington Wizards,1416842
489,Dakari Johnson,Memphis Grizzlies,1378242
490,Kyle Collinsworth,Utah Jazz,1378242
491,Jaylen Morris,San Antonio Spurs,1378242
492,Brandon Paul,San Antonio Spurs,1378242
493,Rodney Purvis,Miami Heat,1378242
494,David Stockton,Los Angeles Lakers,1378242
495,Zhou Qi,Houston Rockets,1378242
496,Aaron Jackson,Houston Rockets,1378242
497,Ike Anigbogu,New Orleans Pelicans,1378242
498,Vernon Carey Jr.,Charlotte Hornets,1350000
499,Jabari Bird,Atlanta Hawks,1349464
500,Ben Moore,San Antonio Spurs,1349383
501,James Nunnally,New Orleans Pelicans,1349383
502,Xavier Tillman,Memphis Grizzlies,1300000
503,Tyrell Terry,Dallas Mavericks,1289846
504,Alex Len,Washington Wizards,1265372
505,Okaro White,Washington Wizards,1187862
506,Noah Vonleh,Brooklyn Nets,1087776
507,Nick Young,Denver Nuggets,1042584
508,Nick Richards,Charlotte Hornets,1000000
509,Jahmi'us Ramsey,Sacramento Kings,1000000
510,Paul Millsap,Denver Nuggets,1000000
511,Gorgui Dieng,San Antonio Spurs,1000000
512,Ron Baker,Washington Wizards,948580
513,Sam Merrill,Milwaukee Bucks,898310
514,Daniel Oturu,LA Clippers,898310
515,Anthony Gill,Washington Wizards,898310
516,Stanton Kidd,Utah Jazz,898310
517,Tre Jones,San Antonio Spurs,898310
518,CJ Elleby,Portland Trail Blazers,898310
519,Elijah Hughes,Utah Jazz,898310
520,Isaiah Joe,Philadelphia 76ers,898310
521,Jordan Nwora,Milwaukee Bucks,898310
522,Max Strus,Miami Heat,898310
523,Kenyon Martin Jr.,Houston Rockets,898310
524,Deividas Sirvydis,Detroit Pistons,898310
525,Isaiah Briscoe,Orlando Magic,838464
526,Andre Drummond,Los Angeles Lakers,794536
527,Blake Griffin,Brooklyn Nets,776983
528,Oshae Brissett,Indiana Pacers,757453
529,Ersan Ilyasova,Utah Jazz,754783
530,Chimezie Metu,Sacramento Kings,700000
531,Timothe Luwawu-Cabarrot,Brooklyn Nets,654469
532,Lamar Stevens,Cleveland Cavaliers,652366
533,Paul Reed,Philadelphia 76ers,609128
534,Jeff Teague,Milwaukee Bucks,510589
535,Norvel Pelle,New York Knicks,500000
536,Dewayne Dedmon,Miami Heat,432890
537,Nemanja Bjelica,Miami Heat,432890
538,Jabari Parker,Boston Celtics,430729
539,Alize Johnson,Brooklyn Nets,399591
540,Tyler Cook,Brooklyn Nets,396081
541,Dion Waiters,Los Angeles Lakers,375385
542,Juan Toscano-Anderson,Golden State Warriors,358295
543,Yuta Watanabe,Toronto Raptors,321893
544,Anthony Tolliver,Philadelphia 76ers,263501
545,Tim Frazier,Memphis Grizzlies,255294
546,Khyri Thomas,Houston Rockets,250000
547,Damian Jones,Sacramento Kings,237965
548,DeMarcus Cousins,LA Clippers,233095
549,Moritz Wagner,Orlando Magic,221995
550,Yogi Ferrell,LA Clippers,214169
551,Rondae Hollis-Jefferson,Portland Trail Blazers,210895
552,Jimmer Fredette,Phoenix Suns,208509
553,Austin Rivers,Denver Nuggets,188696
554,Devonte' Graham,Charlotte Hornets,163861
555,Mamadi Diakite,Milwaukee Bucks,160173
556,Mfiondu Kabengele,Cleveland Cavaliers,154433
557,Didi Louzada,New Orleans Pelicans,123056
558,Naji Marshall,New Orleans Pelicans,120000
559,Freddie Gillespie,Toronto Raptors,116903
560,Ignas Brazdeikis,Orlando Magic,49510
561,Mike James,Brooklyn Nets,39608
562,Elijah Bryant,Milwaukee Bucks,24611
563,Caleb Homesley,Washington Wizards,20000
564,Charlie Brown Jr.,Oklahoma City Thunder,19804
565,Omer Yurtseven,Miami Heat,18458
566,Gary Payton II,Golden State Warriors,11898
