Rank,idPlayer,Team,Player,Salary
400,,Brooklyn Nets,Josh Gray,1620564
401,201163,Brooklyn Nets,Wilson Chandler,1620564
402,,Phoenix Suns,Langston Galloway,1620564
403,202693,Los Angeles Lakers,Markieff Morris,1620564
404,,Miami Heat,Udonis Haslem,1620564
405,,New Orleans Pelicans,Wenyen Gabriel,1620564
406,,Golden State Warriors,Kent Bazemore,1620564
407,201961,Detroit Pistons,Wayne Ellington,1620564
408,201162,Los Angeles Lakers,Jared Dudley,1620564
409,2730,Philadelphia 76ers,Dwight Howard,1620564
410,2546,Portland Trail Blazers,Carmelo Anthony,1620564
411,1628392,Cleveland Cavaliers,Isaiah Hartenstein,1620564
412,1628385,Portland Trail Blazers,Harry Giles III,1620564
413,202704,LA Clippers,Reggie Jackson,1620564
414,201587,LA Clippers,Nicolas Batum,1620564
415,,Indiana Pacers,JaKarr Sampson,1620564
416,201583,Houston Rockets,Ryan Anderson,1620564
417,101123,Houston Rockets,Gerald Green,1620564
418,201145,Brooklyn Nets,Jeff Green,1620564
419,1628425,Houston Rockets,Sterling Brown,1620564
420,,Dallas Mavericks,J.J. Barea,1620564
421,1627748,Cleveland Cavaliers,Thon Maker,1620564
422,1626185,Cleveland Cavaliers,Jarell Martin,1620564
423,,Cleveland Cavaliers,Matthew Dellavedova,1620564
424,1626195,New Orleans Pelicans,Willy Hernangomez,1620564
425,2207,Boston Celtics,Joe Johnson,1620564
426,1713,Atlanta Hawks,Vince Carter,1620564
427,,Detroit Pistons,Dwight Buycks,1600520
428,1628420,Denver Nuggets,Monte Morris,1588231
429,,Chicago Bulls,Antonio Blakeney,1588231
430,1627820,New Orleans Pelicans,Tyrone Wallace,1588231
431,1627781,Philadelphia 76ers,Malachi Richardson,1569360
432,1627834,Portland Trail Blazers,Georgios Papagiannis,1544951
433,1627778,Portland Trail Blazers,Chinanu Onuaku,1544951
434,1627735,Indiana Pacers,Wade Baldwin IV,1544951
435,1627785,Detroit Pistons,Isaiah Whitehead,1544951
436,1627835,Chicago Bulls,Paul Zipser,1544951
437,1629667,Charlotte Hornets,Jalen McDaniels,1517981
438,1628998,Charlotte Hornets,Cody Martin,1517981
439,1629608,Toronto Raptors,Dewan Hernandez,1517981
440,1629655,Washington Wizards,Daniel Gafford,1517981
441,1628394,Washington Wizards,Anzejs Pasecniks,1517981
442,1629672,Golden State Warriors,Eric Paschall,1517981
443,1628430,Utah Jazz,Nigel Williams-Goss,1517981
444,,Oklahoma City Thunder,Luguentz Dort,1517981
445,1629644,Miami Heat,KZ Okpala,1517981
446,1629676,Oklahoma City Thunder,Isaiah Roby,1517981
447,,Sacramento Kings,Terence Davis,1517981
448,1629678,Orlando Magic,Admiral Schofield,1517981
449,,Brooklyn Nets,Nic Claxton,1517981
450,,Minnesota Timberwolves,Naz Reid,1517981
451,1629669,Minnesota Timberwolves,Jaylen Nowell,1517981
452,,Indiana Pacers,Jalen Lecque,1517981
453,,Golden State Warriors,Mychal Mulder,1517981
454,,Sacramento Kings,Chris Silva,1517981
455,,Charlotte Hornets,Caleb Martin,1517981
456,1629659,Los Angeles Lakers,Talen Horton-Tucker,1517981
457,,LA Clippers,Ky Bowman,1517981
458,1629611,LA Clippers,Terance Mann,1517981
459,1628981,Atlanta Hawks,Bruno Fernando,1517981
460,1629346,Golden State Warriors,Alen Smailagic,1517981
461,1629035,Boston Celtics,Carsen Edwards,1517981
462,1628427,Denver Nuggets,Vlatko Cancar,1517981
463,,Philadelphia 76ers,Rayjon Tucker,1517981
464,,Cleveland Cavaliers,Dean Wade,1517981
465,,Utah Jazz,Matt Thomas,1517981
466,,Chicago Bulls,Javonte Green,1517981
467,1629671,Utah Jazz,Miye Oni,1517981
468,1629713,Sacramento Kings,Justin James,1517981
469,,Utah Jazz,Juwan Morgan,1517981
470,,Atlanta Hawks,Chris Clemons,1517981
471,201956,Memphis Grizzlies,Omri Casspi,1512601
472,203485,Toronto Raptors,Lorenzo Brown,1512601
473,203477,Milwaukee Bucks,Isaiah Canaan,1512601
474,2548,Miami Heat,Dwyane Wade,1512601
475,1630218,Sacramento Kings,Robert Woodard II,1500000
476,,Houston Rockets,DaQuan Jeffries,1445697
477,,Toronto Raptors,Paul Watson,1445697
478,,Houston Rockets,Jae'Sean Tate,1445697
479,,New York Knicks,Theo Pinson,1445697
480,,New Orleans Pelicans,Zylan Cheatham,1445697
481,,Indiana Pacers,Kelan Martin,1445697
482,201959,New York Knicks,Taj Gibson,1442968
483,1629059,Brooklyn Nets,Elie Okobo,1416852
484,,Milwaukee Bucks,Jaylen Adams,1416852
485,,Los Angeles Lakers,Jemerrio Jones,1416852
486,,New Orleans Pelicans,Dairis Bertans,1416852
487,,Boston Celtics,Yante Maten,1416852
488,,Washington Wizards,Tarik Phillip,1416842
489,1626177,Memphis Grizzlies,Dakari Johnson,1378242
490,,Utah Jazz,Kyle Collinsworth,1378242
491,,San Antonio Spurs,Jaylen Morris,1378242
492,,San Antonio Spurs,Brandon Paul,1378242
493,,Miami Heat,Rodney Purvis,1378242
494,,Los Angeles Lakers,David Stockton,1378242
495,1627753,Houston Rockets,Zhou Qi,1378242
496,,Houston Rockets,Aaron Jackson,1378242
497,1628387,New Orleans Pelicans,Ike Anigbogu,1378242
498,1630176,Charlotte Hornets,Vernon Carey Jr.,1350000
499,1628444,Atlanta Hawks,Jabari Bird,1349464
500,,San Antonio Spurs,Ben Moore,1349383
501,,New Orleans Pelicans,James Nunnally,1349383
502,1630214,Memphis Grizzlies,Xavier Tillman,1300000
503,1630179,Dallas Mavericks,Tyrell Terry,1289846
504,203458,Washington Wizards,Alex Len,1265372
505,,Washington Wizards,Okaro White,1187862
506,203943,Brooklyn Nets,Noah Vonleh,1087776
507,201156,Denver Nuggets,Nick Young,1042584
508,1630208,Charlotte Hornets,Nick Richards,1000000
